"Date","Local Schedule Time","Call Sign - IATA","Airline IATA Code","Official Schengen Airport","Checkin desks OOP+","Checkin sector OOP+","Gate OOP+","Gate Zone OOP+","Better Forecast Pax Published","Bag Factor Forecast"
"2026/02/27 00:00:00","2026/02/27 15:55:00","LX348","LX","N","93-106","SWISS Star","B33","B","87","0,76422"
"2025/11/29 00:00:00","2025/11/29 09:55:00","EY146","EY","N","46-52","ETIHAD","C56","C","178","1,05192"
"2025/11/09 00:00:00","2025/11/09 14:45:00","EZS1489","EZS","N","1-17","EASYJET Int.","C52","C","123","0,33974"
"2026/02/11 00:00:00","2026/02/11 06:55:00","EZS8486","EZS","N","01-26","EASYJET Int.","C52","C","94","0,16339"
"2025/11/24 00:00:00","2025/11/24 21:15:00","SN2724","SN","Y","93-106","SWISS Star","A2","A","54","0,14762"
"2025/11/13 00:00:00","2025/11/13 09:35:00","OS152","OS","Y","93-106","SWISS Star","A2","A","105","0,41253"
"2026/03/06 00:00:00","2026/03/06 15:00:00","VF330","VF","N","27-34","DNATA Commun","C63","C","121","0,68014"
"2025/12/22 00:00:00","2025/12/22 06:45:00","EZS8486","EZS","N","01-26","EASYJET Int.","C51","C","135","0,2274"
"2026/02/24 00:00:00","2026/02/24 15:00:00","SV236","SV","N","32-39","SAUDIA","C55","C","164","1,28935"
"2025/12/24 00:00:00","2025/12/24 14:35:00","KL1934","KL","Y","70-73","KLM","A2","A","80","0,63927"
"2025/11/09 00:00:00","2025/11/09 11:10:00","LX2813","LX","Y","93-106","SWISS Star","A9","A","78","0,67612"
"2025/11/05 00:00:00","2025/11/05 06:30:00","AF1243","AF","Y","116-120","AIR FRANCE","F11","F","123","0,77882"
"2026/03/13 00:00:00","2026/03/13 18:55:00","EZY2550","EZY","N","01-26","EASYJET Int.","C60","C","138","0,36183"
"2026/01/16 00:00:00","2026/01/16 14:40:00","EZS1343","EZS","Y","109-113","EASYJET France","F10","F","159","0,15637"
"2026/03/13 00:00:00","2026/03/13 14:10:00","IB616","IB","Y","76-79","IBERIA","A3","A","171","0,59003"
"2026/02/20 00:00:00","2026/02/20 20:45:00","IB620","IB","Y","89-92","IBERIA","A8","A","164","0,63094"
"2026/03/12 00:00:00","2026/03/12 12:20:00","LS1462","LS","N","53-57F","SWISSPORT Commun","C54","C","121","0,54266"
"2026/02/02 00:00:00","2026/02/02 18:50:00","BA743","BA","N","89-92","BRITISH","C52","C","138","0,8376"
"2026/01/02 00:00:00","2026/01/02 13:55:00","IV701","IV","N","50-57F","SWISSPORT Commun","C58","C","132","0,81921"
"2026/01/17 00:00:00","2026/01/17 09:25:00","EZY2884","EZY","N","01-26","EASYJET Int.","C59","C","154","0,81435"
"2026/03/18 00:00:00","2026/03/18 17:00:00","EJU1381","EJU","Y","01-26","EASYJET Int.","D27","D","137","0,21045"
"2026/02/08 00:00:00","2026/02/08 19:25:00","KL1938","KL","Y","70-73","KLM","A5","A","131","0,69679"
"2026/03/23 00:00:00","2026/03/23 06:20:00","LH2391","LH","Y","93-106","SWISS Star","A3","A","49","0,43197"
"2025/12/22 00:00:00","2025/12/22 08:45:00","EW4231","EW","Y","53-57F","SWISSPORT Commun","A2","A","110","0,36881"
"2026/03/01 00:00:00","2026/03/01 14:50:00","LX2811","LX","Y","93-106","SWISS Star","A8","A","108","0,84223"
"2025/12/03 00:00:00","2025/12/03 07:20:00","EZS1471","EZS","Y","01-26","EASYJET Int.","D72","D","38","0,07797"
"2026/02/04 00:00:00","2026/02/04 06:20:00","LH2391","LH","Y","93-106","SWISS Star","A8","A","40","0,39382"
"2026/03/20 00:00:00","2026/03/20 09:10:00","LH1213","LH","Y","93-106","SWISS Star","A5","A","73","0,67357"
"2025/11/16 00:00:00","2025/11/16 11:35:00","EJU1379","EJU","Y","01-26","EASYJET Int.","D22","D","154","0,16965"
"2026/01/04 00:00:00","2026/01/04 13:00:00","LS596","LS","N","201-211","TERMINAL 2","C56","C","162","0,9476"
"2025/11/23 00:00:00","2025/11/23 18:55:00","AZ577","AZ","Y","53-57F","SWISSPORT Commun","A4","A","154","0,31471"
"2026/02/25 00:00:00","2026/02/25 20:35:00","AF1043","AF","Y","116-120","AIR FRANCE","F12","F","90","0,52607"
"2025/12/22 00:00:00","2025/12/22 14:05:00","XQ879","XQ","N","49-57F","SWISSPORT Commun","C61","C","126","1,09131"
"2026/02/20 00:00:00","2026/02/20 15:25:00","EJU7740","EJU","Y","01-26","EASYJET Int.","A2","A","178","0,10836"
"2026/03/02 00:00:00","2026/03/02 08:30:00","QR102","QR","N","62-68","QATAR","C55","C","110","1,22684"
"2026/02/27 00:00:00","2026/02/27 19:15:00","BA743","BA","N","89-92","BRITISH","C57","C","62","0,70126"
