Airline IATA Code,count
EZS,17462
LX,11237
EJU,5164
EZY,4775
BA,2712
AF,2583
KL,2093
IB,1860
EN,1789
TP,1296
TK,1082
LH,1026
SN,993
SK,795
EK,724
LO,720
OS,720
UA,694
AZ,675
VY,625
ET,524
LS,502
LG,502
AY,488
EW,442
A0,432
EI,428
PC,423
A3,420
TU,389
AT,371
QR,364
SV,364
EY,358
AC,277
QY,275
FX,243
D0,240
AH,238
XQ,232
CA,228
SRN,212
MS,209
ME,203
DL,197
LY,155
KU,152
BJ,152
DY,127
W4,123
CJ,122
RJ,113
W6,96
3O,95
TOM,79
IV,75
FI,65
MK,61
BT,35
GF,30
YW,26
HV,17
VF,16
D8,14
ENT,14
OG,11
QS,7
J2,7
LB,4
AL,4
BQ,3
EUP,3
KLJ,3
MNE,3
IZ,3
2L,3
CAT,3
GER,3
SI,2
AP,2
AGR,2
HAT,2
SE,2
PVG,2
FRF,2
MLM,2
5O,2
TO,2
BBT,1
GAV,1
5P,1
ATV,1
TLJ,1
AIA,1
AXE,1
SWT,1
AEH,1
EZE,1
SR,1
BRO,1
CE,1
FRO,1
X3,1
FR,1
