Date,Local Schedule Time,Call Sign - IATA,Airline IATA Code,Official Schengen Airport,Checkin desks OOP+,Checkin sector OOP+,Gate OOP+,Gate Zone OOP+,Better Forecast Pax Published,Bag Factor Forecast,Fallback level check-in,Fallback level sûreté,Fallback level douane,Fallback level gate
2025-10-20,2025-10-20 15:30:00,EZS1331,EZS,Y,109-113,EASYJET France,F10,F,160.0,0.20455,0,0,-1,0
2025-09-06,2025-09-06 11:45:00,ME214,ME,N,49-57F,SWISSPORT Commun,B43,B,86.0,1.24602,0,0,0,0
2025-10-20,2025-10-20 09:35:00,OS572,OS,Y,93-106,SWISS Star,D27,D,120.0,0.47481,0,0,-1,1
2025-10-11,2025-10-11 13:00:00,EZS1461,EZS,Y,01-17,EASYJET Int,D75,D,186.0,0.26952,0,0,-1,0
2025-09-17,2025-09-17 20:05:00,LX2819,LX,Y,93-106,SWISS Star,A9,A,61.0,0.7462,0,0,-1,0
2025-08-24,2025-08-24 07:00:00,EZS1567,EZS,N,01-17,EASYJET Int,C52,C,65.0,0.46147,0,0,0,0
2025-10-18,2025-10-18 07:15:00,KL1928,KL,Y,33-36,KLM,A5,A,131.0,0.85672,0,0,-1,0
2025-08-17,2025-08-17 15:50:00,EJU4226,EJU,Y,01-17,EASYJET Int,A2,A,135.0,0.29482,0,0,-1,0
2025-08-06,2025-08-06 16:30:00,EZS1581,EZS,Y,01-17,EASYJET Int,D27,D,168.0,0.39348,0,0,-1,0
2025-09-19,2025-09-19 06:40:00,EZS1411,EZS,Y,01-17,EASYJET Int,D27,D,149.0,0.16525,0,0,-1,0
2025-10-25,2025-10-25 11:15:00,EZS1301,EZS,Y,109-113,EASYJET France,F10,F,133.0,0.28335,0,0,-1,0
2025-08-16,2025-08-16 06:40:00,LX2368,LX,N,93-106,SWISS Star,C58,C,102.0,0.89778,0,0,0,0
2025-08-18,2025-08-18 12:00:00,MU218,MU,N,29-35,CHINA EASTERN,C57,C,202.0,0.56843,16,16,16,16
2025-09-30,2025-09-30 15:15:00,EK090,EK,N,29-36,EMIRATES,C53,C,86.0,1.25098,0,0,0,0
2025-08-09,2025-08-09 09:45:00,EZS1301,EZS,Y,109-113,EASYJET France,F10,F,161.0,0.40288,0,0,-1,0
2025-09-22,2025-09-22 18:55:00,AY1534,AY,Y,49-56,SWISSPORT Commun,D27,D,138.0,0.61082,0,0,-1,0
2025-08-03,2025-08-03 17:55:00,AT931,AT,N,49-57F,SWISSPORT Commun,C51,C,126.0,1.31918,0,0,0,0
2025-10-21,2025-10-21 06:00:00,LX2801,LX,Y,93-106,SWISS Star,A7,A,14.0,0.29593,0,0,-1,0
2025-07-27,2025-07-27 06:10:00,LX1080,LX,Y,93-106,SWISS Star,B32,B,86.0,0.84227,0,0,-1,0
2025-08-12,2025-08-12 13:45:00,LX522,LX,Y,114-115,SWISS France,F15,F,118.0,0.55597,0,0,-1,0
2025-10-23,2025-10-23 12:10:00,LX2092,LX,Y,93-106,SWISS Star,A10,A,94.0,0.53537,0,0,-1,0
2025-08-05,2025-08-05 18:15:00,AF1343,AF,Y,116-120,AIR FRANCE,F12,F,98.0,0.6322,0,0,-1,0
2025-08-19,2025-08-19 20:10:00,EZS1333,EZS,Y,109-113,EASYJET France,F16,F,127.0,0.18862,0,0,-1,0
2025-10-18,2025-10-18 14:40:00,AF1443,AF,Y,116-120,AIR FRANCE,F11,F,125.0,0.72044,0,0,-1,0
2025-08-05,2025-08-05 10:35:00,EZS1425,EZS,Y,01-17,EASYJET Int,A1,A,152.0,0.37765,0,0,-1,0
2025-08-02,2025-08-02 07:10:00,EZS1487,EZS,Y,1-17,EASYJET Int,D27,D,170.0,0.4485,0,0,-1,0
2025-10-15,2025-10-15 21:15:00,IZ524,IZ,N,49-56,SWISSPORT Commun,TBN,TBN,141.0,0.46853,16,16,16,16
2025-08-18,2025-08-18 20:30:00,EJU7526,EJU,Y,01-17,EASYJET Int,D23,D,143.0,0.3262,0,0,-1,0
2025-08-05,2025-08-05 17:55:00,AT931,AT,N,49-56,SWISSPORT Commun,C63,C,82.0,1.30381,0,0,0,1
2025-09-14,2025-09-14 09:35:00,OS572,OS,Y,93-106,SWISS Star,D25,D,99.0,0.60769,0,0,-1,0
2025-08-04,2025-08-04 12:45:00,DL099,DL,N,61-67,DELTA,C56,C,221.0,0.80985,2,2,2,2
2025-08-27,2025-08-27 21:15:00,SN2724,SN,Y,93-106,SWISS Star,A3,A,122.0,0.33344,0,0,-1,0
2025-09-24,2025-09-24 12:25:00,LX2078,LX,Y,93-106,SWISS Star,D25,D,118.0,0.51418,0,0,-1,0
2025-09-19,2025-09-19 14:40:00,TK1922,TK,N,43-48,TURKISH,C61,C,120.0,0.94254,0,0,0,0
2025-09-29,2025-09-29 12:00:00,MU218,MU,N,29-35,CHINA EASTERN,C58,C,115.0,0.49379,16,16,16,16
2025-09-11,2025-09-11 16:35:00,EJU7108,EJU,Y,01-17,EASYJET Int,D23,D,142.0,0.18373,0,0,-1,0
2025-10-14,2025-10-14 21:15:00,SN2724,SN,Y,93-106,SWISS Star,A8,A,60.0,0.27198,0,0,-1,0
2025-07-29,2025-07-29 06:45:00,LX2162,LX,Y,93-106,SWISS Star,A7,A,115.0,0.66566,0,0,-1,0
